,city,distance from NY
0,San Francisco%20CCA,4680488
1,Seattle%20CWA,4606061
2,San Jose%20CCA,4733129
3,Kirkland%20CWA,2566387
4,Bellevue%20CWA,4586918
5,Los Gatos%20CCA,4741100
6,Palo Alto%20CCA,4731642
7,New York%20CNY,10007
8,Menlo Park%20CCA,4727625
9,Roseland%20CNJ,38727
10,San Diego%20CCA,4470171
11,Mc Lean%20CVA,381733
12,Boston%20CMA,340801
13,Washington%20CDC,4523564
14,Redmond%20CWA,4584771
15,Mountain View%20CCA,4733749
16,Cupertino%20CCA,4747337
17,Sunnyvale%20CCA,4732087
18,Bloomington%20CMN,1938245
19,Austin%20CTX,2809697
20,Santa Monica%20CCA,4519772
21,Charlotte%20CNC,1015931
22,Dallas%20CTX,2496062
23,Albuquerque%20CNM,3215226
24,Cary%20CNC,815229
25,Atlanta%20CGA,1401271
26,Cambridge%20CMA,665996
27,Bentonville%20CAR,2085043
28,Irvine%20CCA,4489857
29,Los Angeles%20CCA,4493846
30,Chicago%20CIL,1276254
31,Broomfield%20CCO,2871490
32,Hillsboro%20COR,4698504
33,Santa Clara%20CCA,4732030
34,Plano%20CTX,2497842
35,Columbus%20COH,866643
36,Colorado Springs%20CCO,2867951
37,Portland%20COR,4663595
38,Berkeley%20CCA,4665078
39,Morrisville%20CNC,810167
40,Boulder%20CCO,2889247
41,Richmond%20CVA,549822
42,Pittsburgh%20CPA,611951
43,Raleigh%20CNC,796298
44,Reston%20CVA,395724
45,Wilmington%20CDE,202657
46,Houston%20CTX,2626661
47,Redwood City%20CCA,4719849
48,Denver%20CCO,2865975
49,Walnut Creek%20CCA,4653571
50,Cincinnati%20COH,1033105
51,Farmington%20CUT,3491643
52,Fremont%20CCA,4709830
53,Phoenix%20CAZ,3883807
54,South San Francisco%20CCA,4693331
55,Minneapolis%20CMN,1929914
56,Philadelphia%20CPA,191140
57,Tel Aviv%20CIsrael,None
58,Milpitas%20CCA,4718202
59,Jersey City%20CNJ,11544
60,Newtown Square%20CPA,182242
61,San Mateo%20CCA,4708972
62,Fort Worth%20CTX,2546600
63,Tampa%20CFL,1825894
64,Norfolk%20CVA,587930
65,Warren%20CMI,1971552
66,Ann Arbor%20CMI,991461
67,Raritan%20CNJ,75904
68,Illinois City%20CIL,1544995
69,Madison%20CWI,3999966
70,Kansas City%20CMO,1926081
71,Durham%20CNC,789435
72,Pleasanton%20CCA,4689019
73,Arlington%20CVA,375887
74,San Ramon%20CCA,4674587
75,Saint Paul%20CMN,1914459
76,Foster City%20CCA,4712832
77,Round Rock%20CTX,2780473
78,Plymouth Meeting%20CPA,162438
79,Brazil%20CIN,2537781
80,Armonk%20CNY,57517
81,Chandler%20CAZ,3881496
82,San Bruno%20CCA,4696866
83,Fairfax%20CVA,396380
84,Emeryville%20CCA,4666239
85,San Juan Bautista%20CCA,4796489
86,Naperville%20CIL,1317261
87,Hartford%20CCT,183239
88,Gainesville%20CFL,1621014
89,Alexandria%20CVA,378304
90,Miami%20CFL,2076857
91,Orlando%20CFL,1737306
92,Arizona City%20CAZ,3953203
93,Titusville%20CNJ,1785882
94,Italy%20CTX,2925076
95,Berlin Center%20COH,664942
96,Cleveland%20COH,749359
97,Campbell%20CCA,4735874
98,Beaverton%20COR,4676608
99,Detroit%20CMI,973753
100,Boise%20CID,3975893
101,Columbia%20CMO,1727766
102,Bridgewater%20CNJ,76782
103,Stamford%20CCT,63943
104,Waltham%20CMA,328199
105,Antioch%20CTN,1432926
106,Kansas City%20CKS,1925966
107,Shelton%20CCT,113590
108,Woonsocket%20CRI,312385
109,Indianapolis%20CIN,1147317
110,San Antonio%20CTX,2935879
111,Sacramento%20CCA,4542341
112,Louisville%20CKY,1192694
113,Bloomington%20CIL,1446177
114,Spring%20CTX,1789851
115,Provo%20CUT,3527347
116,Needham%20CMA,328125
117,Oakland%20CCA,4680488
118,McLean%20CTX,408933
119,Bristol%20CCT,165349
120,Mill Valley%20CCA,4685661
121,Dearborn%20CMI,984761
122,Northbrook%20CIL,1314248
123,Basking Ridge%20CNJ,64772
124,Charleston%20CSC,1229841
125,Longmont%20CCO,2862155
126,Glendale%20CCA,4491238
127,Columbia%20CMD,1723480
128,Traverse City%20CMI,1377439
129,Wellesley%20CMA,796984
130,Las Vegas%20CNV,4062808
131,Huntsville%20CAL,1480132
132,Manassas%20CVA,416869
133,Rochester%20CMN,1833749
134,La Jolla%20CCA,4461066
135,Hoboken%20CNJ,33582
136,Birmingham%20CAL,1554926
137,Baltimore%20CMD,319312
138,Vienna%20CVA,388032
139,Worcester%20CMA,286106
140,Irving%20CTX,2515132
141,Ireland%20CIN,1028143
142,Alpharetta%20CGA,1378423
143,Chicago Heights%20CIL,1261273
144,Brooklyn%20CNY,17252
145,Oklahoma City%20COK,2341311
146,Newport Beach%20CCA,4504278
147,Redmond%20CUT,4668036
148,Herndon%20CVA,398693
149,Tulsa%20COK,2172616
150,Mississippi State%20CMS,1776367
151,Hawaiian Gardens%20CCA,4501073
152,Boca Raton%20CFL,2004207
153,Dublin%20CNH,1362313
154,King of Prussia%20CPA,177344
155,Newark%20CNJ,23230
156,Memphis%20CTN,1768994
157,Malvern%20CPA,2054146
158,Watertown%20CMA,2248876
159,St. Louis%20CMO,1541170
160,Washington%20CVA,4209646
161,Mountain View%20CMO,3419771
162,Annapolis Junction%20CMD,342073
163,Holmdel%20CNJ,76874
164,New City%20CNY,51652
165,West McLean%20CVA,382850
